,test_accuracy_1ticket,test_accuracy_2ticket,test_accuracy_improvement,test_tpr_1ticket,test_tpr_2ticket,tpr_improvement,test_disparity_1ticket,test_disparity_2_ticket,disparity_decrease_2_1,Threshold,train_fpr,train_tpr,test_fnr_1ticket,test_fnr_2ticket,num_accepted_1ticket,num_accepted_2ticket
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.5477564102564102,0.5614358974358974,0.01367948717948718,0.10110033112053461,0.13502319420697126,0.03392286308643666,-0.09845375286020036,-0.10577653631068187,0.007322783450481497,84.060478,0.00361094836249994,0.10526975217802084,0.8988996688794655,0.8649768057930288,8.514,11.644
std,0.03514294750918975,0.037060927006987966,0.013605841499938586,0.03584977630724672,0.05001207911251504,0.02745795251603021,0.06481497703568327,0.07222316796256921,0.04503318217906573,0.34424459647233513,0.002620700023565325,0.021117021064625548,0.03584977630724673,0.05001207911251503,3.202235566795563,4.678572654578353
min,0.42948717948717946,0.44871794871794873,-0.019230769230769218,0.0,0.0,-0.015384615384615385,-0.2868589743589744,-0.33974358974358976,-0.14102564102564102,83.463,0.0,0.05,0.75,0.7105263157894737,0.0,0.0
25%,0.5192307692307693,0.532051282051282,0.0064102564102563875,0.08131678189817726,0.10228539576365664,0.013157894736842105,-0.14391891891891892,-0.15718349928876243,-0.022727272727272724,83.751,0.0,0.09340659340659341,0.8780487804878049,0.8333333333333334,7.0,9.0
50%,0.5512820512820513,0.5641025641025641,0.012820512820512775,0.1031947261663286,0.13157894736842105,0.027212143650499815,-0.0999194847020934,-0.10496668963238731,0.008531096563011448,84.143,0.005376344086021506,0.10410645472061658,0.8968052738336714,0.868421052631579,8.0,11.0
75%,0.5705128205128205,0.5897435897435898,0.019230769230769273,0.12195121951219512,0.16666666666666666,0.05079519636481661,-0.05705705705705705,-0.059440559440559426,0.030366161616161614,84.143,0.005555555555555556,0.118053038540534,0.9186832181018227,0.8977146042363434,10.0,15.0
max,0.6346153846153846,0.6538461538461539,0.05769230769230771,0.25,0.2894736842105263,0.1168831168831169,0.1072362685265911,0.17698343504795117,0.1414141414141414,85.282,0.005988023952095809,0.17415730337078653,1.0,1.0,24.0,25.0
