Unnamed: 0,Modified_openai/gpt-4o-mini_of_resume_Modelopenai/gpt-4o-mini UIUX Score
98332,82.165
98333,86.359
98334,84.923
98335,84.323
98336,84.801
98337,85.968
98338,78.909
98339,87.271
98340,88.102
98341,87.373
98342,86.801
98343,84.413
98344,87.828
98345,84.227
98346,87.015
98347,83.715
98348,82.573
98349,87.601
98350,87.718
98351,87.738
98352,85.797
98353,86.58
98354,79.715
98355,85.147
98356,85.427
98357,79.663
98358,88.118
98359,80.026
98360,82.95
98361,85.404
98362,87.483
98363,86.152
98364,86.029
98365,86.198
98366,79.258
98367,84.606
98368,87.22
98369,90.878
98370,87.782
98371,87.068
98372,88.32
98373,84.795
98374,87.894
98375,88.793
98376,84.102
98377,86.469
98378,84.702
98379,88.657
98380,86.691
98381,84.522
98382,88.213
98383,85.934
98384,83.83
98385,84.787
98386,80.663
98387,88.651
98388,86.861
98389,83.405
98390,87.011
98391,85.536
98392,86.416
98393,85.129
98394,87.124
98395,89.937
98396,86.243
98397,85.935
98398,86.057
98399,85.336
98400,82.452
98401,83.177
98402,84.804
