,test_accuracy_1ticket,test_accuracy_2ticket,test_accuracy_improvement,test_tpr_1ticket,test_tpr_2ticket,tpr_improvement,test_disparity_1ticket,test_disparity_2_ticket,disparity_decrease_2_1,Threshold,train_fpr,train_tpr,test_fnr_1ticket,test_fnr_2ticket,num_accepted_1ticket,num_accepted_2ticket
count,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
mean,0.5208076923076923,0.5219743589743588,0.0011666666666666676,0.04166774760603238,0.04251352386202752,0.0008457762559951385,-0.03309921251643065,-0.03455802250876633,0.0014588099923356814,85.217772,0.0,0.04659089739100177,0.9583322523939676,0.9574864761379724,3.494,3.444
std,0.03394505699034011,0.03385477333087431,0.004684068216818643,0.022860541391269095,0.023567303168513375,0.006617204116869626,0.041056235039043834,0.039960863171890085,0.013023070582403243,0.2862097413577955,0.0,0.012456270240155179,0.022860541391269102,0.023567303168513378,1.9984874039652127,2.0879614858355664
min,0.391025641025641,0.391025641025641,-0.019230769230769273,0.0,0.0,-0.0273972602739726,-0.16666666666666666,-0.16666666666666666,-0.05882352941176471,83.645,0.0,0.016666666666666666,0.8783783783783784,0.8375,0.0,0.0
25%,0.4935897435897436,0.5,0.0,0.025237341772151898,0.02531645569620253,0.0,-0.05937574403047549,-0.06067831654772227,0.0,85.004,0.0,0.03825136612021858,0.9444444444444444,0.9436619718309859,2.0,2.0
50%,0.5192307692307693,0.5192307692307693,0.0,0.04,0.04,0.0,-0.030453078667364377,-0.03137591575091575,0.0,85.282,0.0,0.0446927374301676,0.96,0.96,3.0,3.0
75%,0.5448717948717948,0.5448717948717948,0.0,0.05555555555555555,0.056338028169014086,0.0,0.0,-0.002545769161622821,0.0,85.282,0.0,0.053475935828877004,0.9747626582278481,0.9746835443037974,5.0,4.25
max,0.6089743589743589,0.6089743589743589,0.02564102564102566,0.12162162162162163,0.1625,0.05,0.07142857142857142,0.07142857142857142,0.09090909090909091,86.11,0.0,0.12777777777777777,1.0,1.0,13.0,17.0
