Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat UIUX Score
12502,82.359
12503,78.672
12504,81.111
12505,80.532
12506,79.156
12507,80.986
12508,79.242
12509,80.685
12510,82.255
12511,82.137
12512,80.844
12513,79.122
12514,82.588
12515,80.617
12516,79.752
12518,82.603
12519,78.44
12520,82.247
12521,80.462
12523,82.541
12525,86.751
12526,81.772
12527,82.168
12528,80.122
12529,80.087
12530,76.937
12531,75.359
12532,78.278
12533,79.796
12565,82.291
12656,81.513
12674,82.484
12687,83.457
12736,82.277
13078,77.019
13080,81.829
13146,79.271
13147,78.447
13148,79.71
13149,79.875
13150,83.218
13196,79.438
13382,80.068
13461,76.211
13475,81.654
13477,79.348
13537,81.863
13893,80.095
13897,81.196
14744,75.746
14862,82.791
14882,80.363
14890,81.537
14906,77.486
14907,80.336
14914,77.92
14916,80.441
14930,81.967
14932,78.011
14939,79.162
14947,78.497
15180,79.275
15240,81.064
15339,82.851
15419,78.738
15425,79.717
15426,82.169
15474,82.136
15519,81.908
15524,83.034
15589,79.308
15679,78.973
15743,76.819
16036,81.37
16039,79.574
16064,83.512
