Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat UIUX Score
12497,82.236
12498,83.924
12499,80.676
12500,78.218
12501,73.159
12502,81.007
12503,78.672
12504,81.111
12505,80.479
12506,79.139
12507,80.986
12508,80.076
12509,80.685
12510,81.669
12511,81.762
12512,80.844
12513,78.178
12514,82.33
12515,79.767
12516,80.235
12518,82.229
12519,78.658
12520,81.96
12521,80.462
12523,82.541
12525,85.415
12526,81.772
12527,82.168
12528,80.273
12529,80.087
12530,76.937
12531,78.861
12532,78.278
12533,79.524
12565,82.291
12656,81.513
12674,82.41
12687,82.646
12736,82.258
13078,77.019
13080,80.511
13146,78.707
13147,78.632
13148,79.71
13149,79.55
13150,82.654
13196,79.184
13382,79.723
13461,76.211
13475,81.654
13477,80.169
13537,82.067
13893,79.121
13897,81.489
14744,75.746
14862,82.318
14882,80.349
14890,81.693
14906,77.076
14907,80.336
14914,76.935
14916,79.726
14930,81.949
14932,77.949
14939,78.34
14947,81.301
15180,79.529
15240,81.131
15339,82.169
15419,78.092
15425,80.035
15426,82.252
15474,82.361
15519,82.122
15524,83.034
15589,78.691
15679,78.933
15743,75.991
16036,79.005
16039,79.574
16064,83.512
