Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat DoorDash Score
12497,82.682
12498,85.074
12499,83.269
12500,78.333
12501,76.617
12502,84.075
12503,79.372
12504,84.242
12505,75.865
12506,81.227
12507,80.4
12508,83.131
12509,79.393
12510,82.894
12511,82.29
12512,80.433
12513,80.554
12514,85.283
12515,82.003
12516,85.203
12518,83.9
12519,82.142
12520,84.714
12521,82.609
12523,82.772
12525,85.31
12526,84.654
12527,82.074
12528,79.933
12529,85.432
12530,80.452
12531,79.749
12532,82.138
12533,81.639
12565,84.542
12656,82.599
12674,82.315
12687,79.95
12736,82.829
13078,80.751
13080,83.526
13146,78.632
13147,80.951
13148,83.345
13149,81.809
13150,81.836
13196,84.625
13382,81.918
13461,78.365
13475,83.972
13477,80.932
13537,85.236
13893,82.597
13897,83.202
14744,81.231
14862,83.573
14882,82.341
14890,82.449
14906,80.042
14907,81.839
14914,81.632
14916,80.806
14930,82.904
14932,76.82
14939,78.651
14947,82.939
15180,80.231
15240,81.193
15339,82.923
15419,82.137
15425,84.147
15426,82.145
15474,83.445
15519,82.357
15524,82.993
15589,81.583
15679,76.953
15743,74.339
16036,80.596
16039,80.954
16064,85.824
