Unnamed: 0,Modified_deepseek/deepseek-chat_of_Modified_deepseek/deepseek-chat_of_resume_Modeldeepseek/deepseek-chat_Modeldeepseek/deepseek-chat DoorDash Score
12502,85.767
12503,79.372
12504,84.242
12505,75.856
12506,81.22
12507,80.4
12508,81.996
12509,79.393
12510,83.572
12511,82.428
12512,80.433
12513,81.91
12514,85.796
12515,83.975
12516,82.175
12518,84.024
12519,81.119
12520,84.691
12521,82.609
12523,82.772
12525,86.196
12526,84.654
12527,82.074
12528,79.835
12529,85.432
12530,80.452
12531,75.763
12532,82.138
12533,82.324
12565,84.542
12656,82.599
12674,82.413
12687,80.619
12736,82.538
13078,80.751
13080,83.706
13146,78.562
13147,81.22
13148,83.345
13149,81.795
13150,81.973
13196,84.429
13382,83.212
13461,78.365
13475,83.972
13477,81.485
13537,84.382
13893,83.933
13897,82.807
14744,81.231
14862,83.514
14882,81.761
14890,83.315
14906,80.114
14907,81.839
14914,82.621
14916,80.644
14930,83.117
14932,75.406
14939,79.401
14947,80.58
15180,79.693
15240,81.204
15339,84.76
15419,81.875
15425,83.981
15426,82.931
15474,83.196
15519,82.303
15524,82.993
15589,83.01
15679,77.098
15743,76.239
16036,83.568
16039,80.954
16064,85.824
